Order_ID,Order_Date,Product_ID,Warehouse_ID,Supplier_ID,Customer_City,Category,Product_Name,Quantity,Unit_Price,Revenue,Shipping_Cost,Delivery_Days,Order_Status,Payment_Method,Quantity outlier,Delivery date outliers
100001,7/28/2025,P0204,W05,S014,Hyderabad,Office Supplies,Notebook,1,2206,2206,164,3,Delivered,Card,Normal,On Time
100002,01/02/2025,P0353,W05,S009,Pune,Electronics,Monitor,19,253,4807,438,3,Pending,Cash,Normal,On Time
100003,8/26/2024,P0104,W04,S009,Hyderabad,Electronics,Monitor,18,3300,59400,90,9,Delivered,Cash,Normal,On Time
100004,10/17/2025,P0705,W05,S008,Hyderabad,Furniture,Cabinet,6,1916,11496,393,5,Pending,Card,Normal,On Time
100005,4/14/2025,P0147,W03,S005,Ahmedabad,Office Supplies,Printer Paper,2,462,924,462,6,Cancelled,Card,Normal,On Time
100006,06/05/2024,P0643,W02,S014,Delhi,Electronics,Headphones,18,4988,89784,269,10,Pending,UPI,Normal,On Time
100007,12/14/2024,P0115,W03,S014,Vizag,Office Supplies,Notebook,13,4034,52442,320,5,Delivered,Card,Normal,On Time
100008,6/14/2024,P0553,W05,S001,Vizag,Electronics,Monitor,1,2357,2357,306,3,Cancelled,Card,Normal,On Time
100009,6/29/2025,P0785,W02,S005,Ahmedabad,Office Supplies,Printer Paper,16,3173,50768,499,5,Delivered,UPI,Normal,On Time
100010,3/24/2025,P0530,W04,S004,Kolkata,Office Supplies,Marker,18,4522,81396,496,10,Pending,UPI,Normal,On Time
100011,8/31/2024,P0286,W04,S007,Mumbai,Electronics,Mouse,3,4737,14211,167,10,Delivered,Card,Normal,On Time
100012,11/20/2025,P0670,W01,S002,Kolkata,Office Supplies,Pen,19,2190,41610,451,8,Shipped,UPI,Normal,On Time
100013,7/17/2025,P0101,W01,S018,Delhi,Furniture,Cabinet,4,1758,7032,324,8,Pending,UPI,Normal,On Time
100014,10/19/2024,P0434,W05,S016,Chennai,Electronics,Laptop,8,4178,33424,296,4,Delivered,Card,Normal,On Time
100015,3/23/2024,P0191,W01,S020,Vizag,Electronics,Mouse,10,679,6790,346,9,Shipped,Cash,Normal,On Time
100016,9/28/2024,P0406,W02,S010,Hyderabad,Electronics,Mouse,13,4866,63258,176,10,Cancelled,Card,Normal,On Time
100017,07/10/2025,P0721,W03,S020,Hyderabad,Furniture,Cabinet,250,4812,1203000,101,2,Cancelled,Cash,Outlier,On Time
100018,12/17/2024,P0209,W03,S017,Bengaluru,Office Supplies,Stapler,1,4743,4743,203,2,Delivered,UPI,Normal,On Time
100019,01/10/2024,P0115,W01,S005,Ahmedabad,Furniture,Cabinet,2,3669,7338,474,5,Cancelled,Cash,Normal,On Time
100020,12/28/2024,P0799,W05,S014,Hyderabad,Office Supplies,Notebook,12,1413,16956,270,3,Delivered,Cash,Normal,On Time
100021,4/20/2024,P0392,W01,S016,Hyderabad,Office Supplies,Pen,8,1650,13200,261,1,Shipped,Cash,Normal,On Time
100022,11/26/2025,P0550,W03,S001,Chennai,Electronics,Mouse,15,2064,30960,164,1,Delivered,Net Banking,Normal,On Time
100023,7/13/2024,P0261,W01,S014,Vizag,Electronics,Keyboard,6,2374,14244,69,2,Cancelled,Cash,Normal,On Time
100024,11/30/2024,P0413,W03,S018,Chennai,Electronics,Headphones,18,1814,32652,236,7,Delivered,Cash,Normal,On Time
100025,11/01/2025,P0330,W04,S015,Hyderabad,Electronics,Mouse,14,3305,46270,396,3,Delivered,Cash,Normal,On Time
100026,2/17/2024,P0251,W04,S020,Hyderabad,Furniture,Desk,17,1590,27030,387,2,Pending,Cash,Normal,On Time
100027,12/13/2025,P0531,W04,S002,Delhi,Electronics,Monitor,14,4915,68810,149,7,Delivered,UPI,Normal,On Time
100028,04/01/2025,P0163,W04,S015,Vizag,Office Supplies,Pen,4,4006,16024,391,9,Shipped,Cash,Normal,On Time
100029,06/03/2024,P0237,W04,S005,Pune,Furniture,Desk,9,4470,40230,298,4,Pending,Card,Normal,On Time
100030,08/12/2025,P0390,W04,S001,Jaipur,Office Supplies,Pen,3,2910,8730,327,8,Shipped,UPI,Normal,On Time
100031,2/18/2025,P0742,W02,S015,Mumbai,Furniture,Cabinet,13,3632,47216,325,9,Cancelled,UPI,Normal,On Time
100032,08/04/2024,P0466,W03,S011,Bengaluru,Electronics,Headphones,18,3427,61686,353,10,Pending,Card,Normal,On Time
100033,02/01/2024,P0254,W02,S001,Delhi,Furniture,Cabinet,14,870,12180,290,1,Cancelled,Card,Normal,On Time
100034,11/14/2024,P0111,W05,S001,Delhi,Office Supplies,Pen,8,1137,9096,338,4,Pending,Cash,Normal,On Time
100035,08/02/2025,P0043,W03,S018,Jaipur,Furniture,Shelf,13,1824,23712,88,10,Cancelled,UPI,Normal,On Time
100036,6/18/2025,P0667,W03,S020,Ahmedabad,Furniture,Cabinet,3,2995,8985,56,7,Cancelled,Card,Normal,On Time
100037,12/10/2024,P0030,W04,S011,Ahmedabad,Office Supplies,Marker,15,2398,35970,215,4,Shipped,Card,Normal,On Time
100038,12/08/2025,P0488,W04,S015,Kolkata,Electronics,Monitor,7,2316,16212,224,5,Pending,Cash,Normal,On Time
100039,05/03/2024,P0739,W02,S011,Ahmedabad,Electronics,Laptop,10,2193,21930,206,10,Cancelled,Cash,Normal,On Time
100040,6/30/2025,P0130,W03,S002,Pune,Electronics,Headphones,6,4166,24996,191,10,Pending,Cash,Normal,On Time
100041,05/04/2025,P0117,W01,S013,Pune,Electronics,Headphones,10,1234,12340,376,8,Shipped,Card,Normal,On Time
100042,8/19/2024,P0795,W05,S013,Kolkata,Furniture,Chair,19,639,12141,127,3,Pending,Cash,Normal,On Time
100043,6/26/2024,P0566,W01,S006,Chennai,Furniture,Table,10,3712,37120,206,10,Pending,Card,Normal,On Time
100044,10/02/2025,P0604,W02,S014,Hyderabad,Electronics,Monitor,15,4049,60735,199,1,Shipped,Cash,Normal,On Time
100045,10/05/2024,P0513,W05,S016,Ahmedabad,Electronics,Headphones,8,2376,19008,473,3,Cancelled,UPI,Normal,On Time
100046,6/28/2024,P0482,W05,S015,Chennai,Furniture,Chair,20,3739,74780,426,6,Delivered,Card,Normal,On Time
100047,11/09/2025,P0411,W05,S002,Pune,Furniture,Desk,19,4228,80332,96,8,Delivered,Cash,Normal,On Time
100048,5/25/2025,P0641,W04,S002,Hyderabad,Furniture,Chair,11,1149,12639,445,7,Shipped,Card,Normal,On Time
100049,4/26/2024,P0473,W01,S005,Vizag,Electronics,Keyboard,18,2559,46062,274,8,Cancelled,UPI,Normal,On Time
100050,03/12/2024,P0283,W04,S011,Jaipur,Furniture,Cabinet,17,3603,61251,477,8,Pending,UPI,Normal,On Time
100051,1/21/2025,P0467,W03,S007,Pune,Office Supplies,Printer Paper,1,2645,2645,478,10,Shipped,Net Banking,Normal,On Time
100052,12/05/2024,P0103,W04,S004,Mumbai,Office Supplies,Pen,19,3565,67735,72,6,Pending,Net Banking,Normal,On Time
100053,1/24/2025,P0325,W04,S018,Pune,Office Supplies,Marker,1,3558,3558,495,3,Shipped,Cash,Normal,On Time
100054,2/27/2024,P0301,W03,S012,Chennai,Electronics,Headphones,3,2554,7662,166,2,Delivered,Card,Normal,On Time
100055,8/25/2024,P0473,W03,S015,Hyderabad,Furniture,Desk,8,4836,38688,399,3,Shipped,Card,Normal,On Time
100056,11/05/2024,P0204,W04,S016,Kolkata,Furniture,Chair,15,4677,70155,130,2,Cancelled,Cash,Normal,On Time
100057,8/23/2024,P0622,W03,S008,Ahmedabad,Electronics,Mouse,13,4908,63804,201,5,Delivered,Net Banking,Normal,On Time
100058,10/29/2024,P0335,W04,S006,Pune,Office Supplies,Pen,20,1320,26400,371,2,Shipped,Card,Normal,On Time
100059,4/27/2024,P0480,W01,S005,Chennai,Electronics,Mouse,18,3197,57546,321,9,Shipped,UPI,Normal,On Time
100060,1/26/2024,P0635,W05,S011,Pune,Electronics,Monitor,18,3432,61776,57,5,Cancelled,Net Banking,Normal,On Time
